using monthly DB: data/smartfarm_2026_05.sqlite3
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/sensors/snapshot -> sensor_snapshot
stored sf/gh1/sensors/snapshot -> sensor_snapshot
